118,1855,118
151,1856,151
119,1857,121
94,1858,96
111,1859,110
129,1860,117
133,1861,132
119,1862,104
131,1863,125
117,1864,118
125,1865,125
128,1866,123
108,1867,110
126,1868,127
138,1869,131
100,1870,99
142,1871,126
141,1872,144
136,1873,136
123,1874,126
91,1875,91
132,1876,130
62,1877,62
115,1878,112
93,1879,99
160,1880,161
77,1881,78
127,1882,124
120,1883,119
121,1884,124
131,1885,128
131,1886,131
137,1887,113
87,1888,88
74,1889,75
113,1890,111
96,1891,97
117,1892,112
99,1893,101
104,1894,101
119,1895,91
123,1896,110
101,1897,100
129,1898,130
112,1899,111
118,1900,107
103,1901,105
85,1902,89
140,1903,126
111,1904,108
115,1905,97
106,1906,94
106,1907,83
118,1908,106
96,1909,98
103,1910,101
113,1911,108
104,1912,99
83,1913,88
115,1914,115
111,1915,102
116,1916,116
116,1917,115
83,1918,82
116,1919,110
85,1920,81
96,1921,96
127,1922,125
103,1923,104
103,1924,105
126,1925,124
102,1926,103
108,1927,106
96,1928,96
104,1929,107
98,1930,98
60,1931,65
107,1932,115
103,1933,91
98,1934,94
107,1935,101
123,1936,121
111,1937,105
102,1938,97
102,1939,105
127,1940,96
85,1941,82
114,1942,116
101,1943,114
89,1944,92
99,1945,98
108,1946,101
108,1947,104
92,1948,96
113,1949,109
118,1950,122
112,1951,114
93,1952,81
72,1953,85
83,1954,92
109,1955,114
92,1956,111
109,1957,95
125,1958,126
101,1959,105
98,1960,108
113,1961,117
112,1962,112
92,1963,113
114,1964,120
65,1965,65
88,1966,98
87,1967,91
101,1968,108
92,1969,113
93,1970,110
